Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
||4|m|.2.|(x,1/2,0)|(-x,1/2,0)|(1/2,x,1/2)|(1/2,-x,1/2)
||4|l|.2.|(x,0,1/2)|(-x,0,1/2)|(0,x,0)|(0,-x,0)
||4|k|.2.|(x,1/2,1/2)|(-x,1/2,1/2)|(1/2,x,0)|(1/2,-x,0)
||4|j|.2.|(x,0,0)|(-x,0,0)|(0,x,1/2)|(0,-x,1/2)
||4|i|2..|(0,1/2,z)|(1/2,0,z+1/2)|(0,1/2,-z)|(1/2,0,-z+1/2)
||4|h|2..|(1/2,1/2,z)|(1/2,1/2,z+1/2)|(1/2,1/2,-z)|(1/2,1/2,-z+1/2)
||4|g|2..|(0,0,z)|(0,0,z+1/2)|(0,0,-z)|(0,0,-z+1/2)
||2|f|2.22|(1/2,1/2,1/4)|(1/2,1/2,3/4)||
||2|e|2.22|(0,0,1/4)|(0,0,3/4)||
||2|d|222|(0,1/2,1/2)|(1/2,0,0)||
||2|c|222|(0,1/2,0)|(1/2,0,1/2)||
||2|b|222|(1/2,1/2,0)|(1/2,1/2,1/2)||
||2|a|222|(0,0,0)|(0,0,1/2)||
P 42 21 2|371|||||||
||8|g|1|(x,y,z)|(-x,-y,z)|(-y+1/2,x+1/2,z+1/2)|(y+1/2,-x+1/2,z+1/2)
|||||(-x+1/2,y+1/2,-z+1/2)|(x+1/2,-y+1/2,-z+1/2)|(y,x,-z)|(-y,-x,-z)
||4|f|..2|(x,x,1/2)|(-x,-x,1/2)|(-x+1/2,x+1/2,0)|(x+1/2,-x+1/2,0)
||4|e|..2|(x,x,0)|(-x,-x,0)|(-x+1/2,x+1/2,1/2)|(x+1/2,-x+1/2,1/2)
||4|d|2..|(0,1/2,z)|(0,1/2,z+1/2)|(1/2,0,-z+1/2)|(1/2,0,-z)
||4|c|2..|(0,0,z)|(1/2,1/2,z+1/2)|(1/2,1/2,-z+1/2)|(0,0,-z)
||2|b|2.22|(0,0,1/2)|(1/2,1/2,0)||
||2|a|2.22|(0,0,0)|(1/2,1/2,1/2)||
P 43 2 2|372|||||||
||8|d|1|(x,y,z)|(-x,-y,z+1/2)|(-y,x,z+3/4)|(y,-x,z+1/4)
|||||(-x,y,-z)|(x,-y,-z+1/2)|(y,x,-z+1/4)|(-y,-x,-z+3/4)
||4|c|..2|(x,x,5/8)|(-x,-x,1/8)|(-x,x,3/8)|(x,-x,7/8)
||4|b|.2.|(1/2,y,0)|(1/2,-y,1/2)|(-y,1/2,3/4)|(y,1/2,1/4)
||4|a|.2.|(0,y,0)|(0,-y,1/2)|(-y,0,3/4)|(y,0,1/4)
P 43 21 2|373|||||||
||8|b|1|(x,y,z)|(-x,-y,z+1/2)|(-y+1/2,x+1/2,z+3/4)|(y+1/2,-x+1/2,z+1/4)
|||||(-x+1/2,y+1/2,-z+3/4)|(x+1/2,-y+1/2,-z+1/4)|(y,x,-z)|(-y,-x,-z+1/2)
||4|a|..2|(x,x,0)|(-x,-x,1/2)|(-x+1/2,x+1/2,3/4)|(x+1/2,-x+1/2,1/4)
I 4 2 2|374|||||||
||16|k|1|(x,y,z)|(-x,-y,z)|(-y,x,z)|(y,-x,z)
|||||(-x,y,-z)|(x,-y,-z)|(y,x,-z)|(-y,-x,-z)
||8|j|..2|(x,x+1/2,1/4)|(-x,-x+1/2,1/4)|(-x+1/2,x,1/4)|(x+1/2,-x,1/4)
||8|i|.2.|(x,0,1/2)|(-x,0,1/2)|(0,x,1/2)|(0,-x,1/2)
||8|h|.2.|(x,0,0)|(-x,0,0)|(0,x,0)|(0,-x,0)
||8|g|..2|(x,x,0)|(-x,-x,0)|(-x,x,0)|(x,-x,0)
||8|f|2..|(0,1/2,z)|(1/2,0,z)|(0,1/2,-z)|(1/2,0,-z)
||4|e|4..|(0,0,z)|(0,0,-z)||
||4|d|2.22|(0,1/2,1/4)|(1/2,0,1/4)||
||4|c|222|(0,1/2,0)|(1/2,0,0)||
||2|b|422|(0,0,1/2)|||
||2|a|422|(0,0,0)|||
I 41 2 2|375|||||||
||16|g|1|(x,y,z)|(-x+1/2,-y+1/2,z+1/2)|(-y,x+1/2,z+1/4)|(y+1/2,-x,z+3/4)
|||||(-x+1/2,y,-z+3/4)|(x,-y+1/2,-z+1/4)|(y+1/2,x+1/2,-z+1/2)|(-y,-x,-z)
||8|f|.2.|(x,1/4,1/8)|(-x+1/2,1/4,5/8)|(3/4,x+1/2,3/8)|(3/4,-x,7/8)
||8|e|..2|(x,-x,0)|(-x+1/2,x+1/2,1/2)|(x,x+1/2,1/4)|(-x+1/2,-x,3/4)
||8|d|..2|(x,x,0)|(-x+1/2,-x+1/2,1/2)|(-x,x+1/2,1/4)|(x+1/2,-x,3/4)
||8|c|2..|(0,0,z)|(0,1/2,z+1/4)|(1/2,0,-z+3/4)|(1/2,1/2,-z+1/2)
||4|b|2.22|(0,0,1/2)|(0,1/2,3/4)||
||4|a|2.22|(0,0,0)|(0,1/2,1/4)||
P 4 m m|376|||||||
||8|g|1|(x,y,z)|(-x,-y,z)|(-y,x,z)|(y,-x,z)
|||||(x,-y,z)|(-x,y,z)|(-y,-x,z)|(y,x,z)
||4|f|.m.|(x,1/2,z)|(-x,1/2,z)|(1/2,x,z)|(1/2,-x,z)
||4|e|.m.|(x,0,z)|(-x,0,z)|(0,x,z)|(0,-x,z)
||4|d|..m|(x,x,z)|(-x,-x,z)|(-x,x,z)|(x,-x,z)
||2|c|2mm.|(1/2,0,z)|(0,1/2,z)||
||1|b|4mm|(1/2,1/2,z)|||
||1|a|4mm|(0,0,z)|||
P 4 b m|377|||||||
||8|d|1|(x,y,z)|(-x,-y,z)|(-y,x,z)|(y,-x,z)
|||||(x+1/2,-y+1/2,z)|(-x+1/2,y+1/2,z)|(-y+1/2,-x+1/2,z)|(y+1/2,x+1/2,z)
||4|c|..m|(x,x+1/2,z)|(-x,-x+1/2,z)|(-x+1/2,x,z)|(x+1/2,-x,z)
||2|b|2.mm|(1/2,0,z)|(0,1/2,z)||
||2|a|4..|(0,0,z)|(1/2,1/2,z)||
P 42 c m|378|||||||
||8|e|1|(x,y,z)|(-x,-y,z)|(-y,x,z+1/2)|(y,-x,z+1/2)
|||||(x,-y,z+1/2)|(-x,y,z+1/2)|(-y,-x,z)|(y,x,z)
||4|d|..m|(x,x,z)|(-x,-x,z)|(-x,x,z+1/2)|(x,-x,z+1/2)
||4|c|2..|(0,1/2,z)|(1/2,0,z+1/2)|(0,1/2,z+1/2)|(1/2,0,z)
||2|b|2.mm|(1/2,1/2,z)|(1/2,1/2,z+1/2)||
||2|a|2.mm|(0,0,z)|(0,0,z+1/2)||
P 42 n m|379|||||||
||8|d|1|(x,y,z)|(-x,-y,z)|(-y+1/2,x+1/2,z+1/2)|(y+1/2,-x+1/2,z+1/2)
|||||(x+1/2,-y+1/2,z+1/2)|(-x+1/2,y+1/2,z+1/2)|(-y,-x,z)|(y,x,z)
||4|c|..m|(x,x,z)|(-x,-x,z)|(-x+1/2,x+1/2,z+1/2)|(x+1/2,-x+1/2,z+1/2)
||4|b|2..|(0,1/2,z)|(0,1/2,z+1/2)|(1/2,0,z+1/2)|(1/2,0,z)
||2|a|2.mm|(0,0,z)|(1/2,1/2,z+1/2)||
P 4 c c|380|||||||
||8|d|1|(x,y,z)|(-x,-y,z)|(-y,x,z)|(y,-x,z)
|||||(x,-y,z+1/2)|(-x,y,z+1/2)|(-y,-x,z+1/2)|(y,x,z+1/2)
||4|c|2..|(0,1/2,z)|(1/2,0,z)|(0,1/2,z+1/2)|(1/2,0,z+1/2)
||2|b|4..|(1/2,1/2,z)|(1/2,1/2,z+1/2)||
||2|a|4..|(0,0,z)|(0,0,z+1/2)||
P 4 n c|381|||||||
||8|c|1|(x,y,z)|(-x,-y,z)|(-y,x,z)|(y,-x,z)
|||||(x+1/2,-y+1/2,z+1/2)|(-x+1/2,y+1/2,z+1/2)|(-y+1/2,-x+1/2,z+1/2)|(y+1/2,x+1/2,z+1/2)
||4|b|2..|(0,1/2,z)|(1/2,0,z)|(1/2,0,z+1/2)|(0,1/2,z+1/2)
||2|a|4..|(0,0,z)|(1/2,1/2,z+1/2)||
P 42 m c|382|||||||
||8|f|1|(x,y,z)|(-x,-y,z)|(-y,x,z+1/2)|(y,-x,z+1/2)
|||||(x,-y,z)|(-x,y,z)|(-y,-x,z+1/2)|(y,x,z+1/2)
||4|e|.m.|(x,1/2,z)|(-x,1/2,z)|(1/2,x,z+1/2)|(1/2,-x,z+1/2)
||4|d|.m.|(x,0,z)|(-x,0,z)|(0,x,z+1/2)|(0,-x,z+1/2)
||2|c|2mm.|(0,1/2,z)|(1/2,0,z+1/2)||
||2|b|2mm.|(1/2,1/2,z)|(1/2,1/2,z+1/2)||
||2|a|2mm.|(0,0,z)|(0,0,z+1/2)||
P 42 b c|383|||||||
||8|c|1|(x,y,z)|(-x,-y,z)|(-y,x,z+1/2)|(y,-x,z+1/2)
|||||(x+1/2,-y+1/2,z)|(-x+1/2,y+1/2,z)|(-y+1/2,-x+1/2,z+1/2)|(y+1/2,x+1/2,z+1/2)
||4|b|2..|(0,1/2,z)|(1/2,0,z+1/2)|(1/2,0,z)|(0,1/2,z+1/2)
||4|a|2..|(0,0,z)|(0,0,z+1/2)|(1/2,1/2,z)|(1/2,1/2,z+1/2)
I 4 m m|384|||||||
||16|e|1|(x,y,z)|(-x,-y,z)|(-y,x,z)|(y,-x,z)
|||||(x,-y,z)|(-x,y,z)|(-y,-x,z)|(y,x,z)
||8|d|.m.|(x,0,z)|(-x,0,z)|(0,x,z)|(0,-x,z)
||8|c|..m|(x,x,z)|(-x,-x,z)|(-x,x,z)|(x,-x,z)
||4|b|2mm.|(0,1/2,z)|(1/2,0,z)||
||2|a|4mm|(0,0,z)|||
I 4 c m|385|||||||
||16|d|1|(x,y,z)|(-x,-y,z)|(-y,x,z)|(y,-x,z)
|||||(x,-y,z+1/2)|(-x,y,z+1/2)|(-y,-x,z+1/2)|(y,x,z+1/2)
||8|c|..m|(x,x+1/2,z)|(-x,-x+1/2,z)|(-x+1/2,x,z)|(x+1/2,-x,z)
||4|b|2.mm|(1/2,0,z)|(0,1/2,z)||
||4|a|4..|(0,0,z)|(0,0,z+1/2)||
I 41 m d|386|||||||
||16|c|1|(x,y,z)|(-x+1/2,-y+1/2,z+1/2)|(-y,x+1/2,z+1/4)|(y+1/2,-x,z+3/4)
|||||(x,-y,z)|(-x+1/2,y+1/2,z+1/2)|(-y,-x+1/2,z+1/4)|(y+1/2,x,z+3/4)
||8|b|.m.|(0,y,z)|(1/2,-y+1/2,z+1/2)|(-y,1/2,z+1/4)|(y+1/2,0,z+3/4)
||4|a|2mm.|(0,0,z)|(0,1/2,z+1/4)||
I 41 c d|387|||||||
||16|b|1|(x,y,z)|(-x+1/2,-y+1/2,z+1/2)|(-y,x+1/2,z+1/4)|(y+1/2,-x,z+3/4)
|||||(x,-y,z+1/2)|(-x+1/2,y+1/2,z)|(-y,-x+1/2,z+3/4)|(y+1/2,x,z+1/4)
||8|a|2..|(0,0,z)|(0,1/2,z+1/4)|(0,0,z+1/2)|(0,1/2,z+3/4)
P -4 2 m|388|||||||
||8|o|1|(x,y,z)|(-x,-y,z)|(y,-x,-z)|(-y,x,-z)
|||||(-x,y,-z)|(x,-y,-z)|(-y,-x,z)|(y,x,z)
||4|n|..m|(x,x,z)|(-x,-x,z)|(x,-x,-z)|(-x,x,-z)
||4|m|2..|(0,1/2,z)|(1/2,0,-z)|(0,1/2,-z)|(1/2,0,z)
||4|l|.2.|(x,1/2,0)|(-x,1/2,0)|(1/2,-x,0)|(1/2,x,0)
