Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
||1|d|mm2|(1/2,1/2,z)|||
||1|c|mm2|(1/2,0,z)|||
||1|b|mm2|(0,1/2,z)|||
||1|a|mm2|(0,0,z)|||
P 2 m m|126|||||||
||4|i|1|(x,y,z)|(x,-y,-z)|(x,y,-z)|(x,-y,z)
||2|h|m..|(x,1/2,z)|(x,1/2,-z)||
||2|g|m..|(x,0,z)|(x,0,-z)||
||2|f|.m.|(x,y,1/2)|(x,-y,1/2)||
||2|e|.m.|(x,y,0)|(x,-y,0)||
||1|d|mm2|(x,1/2,1/2)|||
||1|c|mm2|(x,1/2,0)|||
||1|b|mm2|(x,0,1/2)|||
||1|a|mm2|(x,0,0)|||
P m 2 m|127|||||||
||4|i|1|(x,y,z)|(-x,y,-z)|(-x,y,z)|(x,y,-z)
||2|h|m..|(x,y,1/2)|(-x,y,1/2)||
||2|g|m..|(x,y,0)|(-x,y,0)||
||2|f|.m.|(1/2,y,z)|(1/2,y,-z)||
||2|e|.m.|(0,y,z)|(0,y,-z)||
||1|d|mm2|(1/2,y,1/2)|||
||1|c|mm2|(0,y,1/2)|||
||1|b|mm2|(1/2,y,0)|||
||1|a|mm2|(0,y,0)|||
P m c 21|128|||||||
||4|c|1|(x,y,z)|(-x,-y,z+1/2)|(x,-y,z+1/2)|(-x,y,z)
||2|b|m..|(1/2,y,z)|(1/2,-y,z+1/2)||
||2|a|m..|(0,y,z)|(0,-y,z+1/2)||
P c m 21|129|||||||
||4|c|1|(x,y,z)|(-x,-y,z+1/2)|(-x,y,z+1/2)|(x,-y,z)
||2|b|m..|(x,1/2,z)|(-x,1/2,z+1/2)||
||2|a|m..|(x,0,z)|(-x,0,z+1/2)||
P 21 m a|130|||||||
||4|c|1|(x,y,z)|(x+1/2,-y,-z)|(x+1/2,y,-z)|(x,-y,z)
||2|b|m..|(x,1/2,z)|(x+1/2,1/2,-z)||
||2|a|m..|(x,0,z)|(x+1/2,0,-z)||
P 21 a m|131|||||||
||4|c|1|(x,y,z)|(x+1/2,-y,-z)|(x+1/2,-y,z)|(x,y,-z)
||2|b|m..|(x,y,1/2)|(x+1/2,-y,1/2)||
||2|a|m..|(x,y,0)|(x+1/2,-y,0)||
P b 21 m|132|||||||
||4|c|1|(x,y,z)|(-x,y+1/2,-z)|(-x,y+1/2,z)|(x,y,-z)
||2|b|m..|(x,y,1/2)|(-x,y+1/2,1/2)||
||2|a|m..|(x,y,0)|(-x,y+1/2,0)||
P m 21 b|133|||||||
||4|c|1|(x,y,z)|(-x,y+1/2,-z)|(x,y+1/2,-z)|(-x,y,z)
||2|b|m..|(1/2,y,z)|(1/2,y+1/2,-z)||
||2|a|m..|(0,y,z)|(0,y+1/2,-z)||
P c c 2|134|||||||
||4|e|1|(x,y,z)|(-x,-y,z)|(x,-y,z+1/2)|(-x,y,z+1/2)
||2|d|..2|(1/2,1/2,z)|(1/2,1/2,z+1/2)||
||2|c|..2|(1/2,0,z)|(1/2,0,z+1/2)||
||2|b|..2|(0,1/2,z)|(0,1/2,z+1/2)||
||2|a|..2|(0,0,z)|(0,0,z+1/2)||
P 2 a a|135|||||||
||4|e|1|(x,y,z)|(x,-y,-z)|(x+1/2,y,-z)|(x+1/2,-y,z)
||2|d|..2|(x,1/2,1/2)|(x+1/2,1/2,1/2)||
||2|c|..2|(x,1/2,0)|(x+1/2,1/2,0)||
||2|b|..2|(x,0,1/2)|(x+1/2,0,1/2)||
||2|a|..2|(x,0,0)|(x+1/2,0,0)||
P b 2 b|136|||||||
||4|e|1|(x,y,z)|(-x,y,-z)|(-x,y+1/2,z)|(x,y+1/2,-z)
||2|d|..2|(1/2,y,1/2)|(1/2,y+1/2,1/2)||
||2|c|..2|(0,y,1/2)|(0,y+1/2,1/2)||
||2|b|..2|(1/2,y,0)|(1/2,y+1/2,0)||
||2|a|..2|(0,y,0)|(0,y+1/2,0)||
P m a 2|137|||||||
||4|d|1|(x,y,z)|(-x,-y,z)|(x+1/2,-y,z)|(-x+1/2,y,z)
||2|c|m..|(1/4,y,z)|(3/4,-y,z)||
||2|b|..2|(0,1/2,z)|(1/2,1/2,z)||
||2|a|..2|(0,0,z)|(1/2,0,z)||
P b m 2|138|||||||
||4|d|1|(x,y,z)|(-x,-y,z)|(-x,y+1/2,z)|(x,-y+1/2,z)
||2|c|m..|(x,1/4,z)|(-x,3/4,z)||
||2|b|..2|(1/2,0,z)|(1/2,1/2,z)||
||2|a|..2|(0,0,z)|(0,1/2,z)||
P 2 m b|139|||||||
||4|d|1|(x,y,z)|(x,-y,-z)|(x,y+1/2,-z)|(x,-y+1/2,z)
||2|c|m..|(x,1/4,z)|(x,3/4,-z)||
||2|b|..2|(x,0,1/2)|(x,1/2,1/2)||
||2|a|..2|(x,0,0)|(x,1/2,0)||
