Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
||2|g|3..|(0,0,z)|(0,0,-z)||
||1|f|3.2|(2/3,1/3,1/2)|||
||1|e|3.2|(2/3,1/3,0)|||
||1|d|3.2|(1/3,2/3,1/2)|||
||1|c|3.2|(1/3,2/3,0)|||
||1|b|3.2|(0,0,1/2)|||
||1|a|3.2|(0,0,0)|||
P 3 2 1|439|||||||
||6|g|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(y,x,-z)
|||||(x-y,-y,-z)|(-x,-x+y,-z)||
||3|f|.2.|(x,0,1/2)|(0,x,1/2)|(-x,-x,1/2)|
||3|e|.2.|(x,0,0)|(0,x,0)|(-x,-x,0)|
||2|d|3..|(1/3,2/3,z)|(2/3,1/3,-z)||
||2|c|3..|(0,0,z)|(0,0,-z)||
||1|b|32|(0,0,1/2)|||
||1|a|32|(0,0,0)|||
P 31 1 2|440|||||||
||6|c|1|(x,y,z)|(-y,x-y,z+1/3)|(-x+y,-x,z+2/3)|(-y,-x,-z+2/3)
|||||(-x+y,y,-z+1/3)|(x,x-y,-z)||
||3|b|..2|(x,-x,5/6)|(x,2x,1/6)|(-2x,-x,1/2)|
||3|a|..2|(x,-x,1/3)|(x,2x,2/3)|(-2x,-x,0)|
P 31 2 1|441|||||||
||6|c|1|(x,y,z)|(-y,x-y,z+1/3)|(-x+y,-x,z+2/3)|(y,x,-z)
|||||(x-y,-y,-z+2/3)|(-x,-x+y,-z+1/3)||
||3|b|.2.|(x,0,5/6)|(0,x,1/6)|(-x,-x,1/2)|
||3|a|.2.|(x,0,1/3)|(0,x,2/3)|(-x,-x,0)|
P 32 1 2|442|||||||
||6|c|1|(x,y,z)|(-y,x-y,z+2/3)|(-x+y,-x,z+1/3)|(-y,-x,-z+1/3)
|||||(-x+y,y,-z+2/3)|(x,x-y,-z)||
||3|b|..2|(x,-x,1/6)|(x,2x,5/6)|(-2x,-x,1/2)|
||3|a|..2|(x,-x,2/3)|(x,2x,1/3)|(-2x,-x,0)|
P 32 2 1|443|||||||
||6|c|1|(x,y,z)|(-y,x-y,z+2/3)|(-x+y,-x,z+1/3)|(y,x,-z)
|||||(x-y,-y,-z+1/3)|(-x,-x+y,-z+2/3)||
||3|b|.2.|(x,0,1/6)|(0,x,5/6)|(-x,-x,1/2)|
||3|a|.2.|(x,0,2/3)|(0,x,1/3)|(-x,-x,0)|
R 3 2|444|||||||
||18|f|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(y,x,-z)
|||||(x-y,-y,-z)|(-x,-x+y,-z)||
||9|e|0.2|(x,0,1/2)|(0,x,1/2)|(-x,-x,1/2)|
||9|d|0.2|(x,0,0)|(0,x,0)|(-x,-x,0)|
||6|c|3|(0,0,z)|(0,0,-z)||
||3|b|32|(0,0,1/2)|||
||3|a|32|(0,0,0)|||
R 3 2|445|||||||
||6|f|1|(x,y,z)|(z,x,y)|(y,z,x)|(-y,-x,-z)
|||||(-x,-z,-y)|(-z,-y,-x)||
||3|e|0.2|(1/2,y,-y)|(-y,1/2,y)|(y,-y,1/2)|
||3|d|0.2|(0,y,-y)|(-y,0,y)|(y,-y,0)|
||2|c|3|(x,x,x)|(-x,-x,-x)||
||1|b|32|(1/2,1/2,1/2)|||
||1|a|32|(0,0,0)|||
P 3 m 1|446|||||||
||6|e|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(-y,-x,z)
|||||(-x+y,y,z)|(x,x-y,z)||
||3|d|.m.|(x,-x,z)|(x,2x,z)|(-2x,-x,z)|
||1|c|3m.|(2/3,1/3,z)|||
||1|b|3m.|(1/3,2/3,z)|||
||1|a|3m.|(0,0,z)|||
P 3 1 m|447|||||||
||6|d|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(y,x,z)
|||||(x-y,-y,z)|(-x,-x+y,z)||
||3|c|..m|(x,0,z)|(0,x,z)|(-x,-x,z)|
||2|b|3..|(1/3,2/3,z)|(2/3,1/3,z)||
||1|a|3.m|(0,0,z)|||
P 3 c 1|448|||||||
||6|d|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(-y,-x,z+1/2)
|||||(-x+y,y,z+1/2)|(x,x-y,z+1/2)||
||2|c|3..|(2/3,1/3,z)|(2/3,1/3,z+1/2)||
||2|b|3..|(1/3,2/3,z)|(1/3,2/3,z+1/2)||
||2|a|3..|(0,0,z)|(0,0,z+1/2)||
P 3 1 c|449|||||||
||6|c|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(y,x,z+1/2)
|||||(x-y,-y,z+1/2)|(-x,-x+y,z+1/2)||
||2|b|3..|(1/3,2/3,z)|(2/3,1/3,z+1/2)||
||2|a|3..|(0,0,z)|(0,0,z+1/2)||
R 3 m|450|||||||
||18|c|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(-y,-x,z)
|||||(-x+y,y,z)|(x,x-y,z)||
||9|b|.m|(x,-x,z)|(x,2x,z)|(-2x,-x,z)|
||3|a|3m|(0,0,z)|||
R 3 m|451|||||||
||6|c|1|(x,y,z)|(z,x,y)|(y,z,x)|(y,x,z)
|||||(x,z,y)|(z,y,x)||
||3|b|.m|(x,x,z)|(z,x,x)|(x,z,x)|
||1|a|3m|(x,x,x)|||
R 3 c|452|||||||
||18|b|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(-y,-x,z+1/2)
|||||(-x+y,y,z+1/2)|(x,x-y,z+1/2)||
||6|a|3|(0,0,z)|(0,0,z+1/2)||
R 3 c|453|||||||
||6|b|1|(x,y,z)|(z,x,y)|(y,z,x)|(y+1/2,x+1/2,z+1/2)
|||||(x+1/2,z+1/2,y+1/2)|(z+1/2,y+1/2,x+1/2)||
||2|a|3|(x,x,x)|(x+1/2,x+1/2,x+1/2)||
P -3 1 2/m|454|||||||
||12|l|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(-y,-x,-z)
|||||(-x+y,y,-z)|(x,x-y,-z)|(-x,-y,-z)|(y,-x+y,-z)
|||||(x-y,x,-z)|(y,x,z)|(x-y,-y,z)|(-x,-x+y,z)
||6|k|..m|(x,0,z)|(0,x,z)|(-x,-x,z)|(0,-x,-z)
|||||(-x,0,-z)|(x,x,-z)||
||6|j|..2|(x,-x,1/2)|(x,2x,1/2)|(-2x,-x,1/2)|(-x,x,1/2)
|||||(-x,-2x,1/2)|(2x,x,1/2)||
||6|i|..2|(x,-x,0)|(x,2x,0)|(-2x,-x,0)|(-x,x,0)
|||||(-x,-2x,0)|(2x,x,0)||
||4|h|3..|(1/3,2/3,z)|(1/3,2/3,-z)|(2/3,1/3,-z)|(2/3,1/3,z)
||3|g|..2/m|(1/2,0,1/2)|(0,1/2,1/2)|(1/2,1/2,1/2)|
||3|f|..2/m|(1/2,0,0)|(0,1/2,0)|(1/2,1/2,0)|
||2|e|3.m|(0,0,z)|(0,0,-z)||
||2|d|3.2|(1/3,2/3,1/2)|(2/3,1/3,1/2)||
||2|c|3.2|(1/3,2/3,0)|(2/3,1/3,0)||
||1|b|-3.m|(0,0,1/2)|||
||1|a|-3.m|(0,0,0)|||
P -3 1 2/c|455|||||||
||12|i|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(-y,-x,-z+1/2)
|||||(-x+y,y,-z+1/2)|(x,x-y,-z+1/2)|(-x,-y,-z)|(y,-x+y,-z)
|||||(x-y,x,-z)|(y,x,z+1/2)|(x-y,-y,z+1/2)|(-x,-x+y,z+1/2)
||6|h|..2|(x,-x,1/4)|(x,2x,1/4)|(-2x,-x,1/4)|(-x,x,3/4)
|||||(-x,-2x,3/4)|(2x,x,3/4)||
||6|g|-1|(1/2,0,0)|(0,1/2,0)|(1/2,1/2,0)|(0,1/2,1/2)
|||||(1/2,0,1/2)|(1/2,1/2,1/2)||
||4|f|3..|(1/3,2/3,z)|(1/3,2/3,-z+1/2)|(2/3,1/3,-z)|(2/3,1/3,z+1/2)
||4|e|3..|(0,0,z)|(0,0,-z+1/2)|(0,0,-z)|(0,0,z+1/2)
||2|d|3.2|(2/3,1/3,1/4)|(1/3,2/3,3/4)||
||2|c|3.2|(1/3,2/3,1/4)|(2/3,1/3,3/4)||
||2|b|-3..|(0,0,0)|(0,0,1/2)||
||2|a|3.2|(0,0,1/4)|(0,0,3/4)||
P -3 2/m 1|456|||||||
||12|j|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(y,x,-z)
|||||(x-y,-y,-z)|(-x,-x+y,-z)|(-x,-y,-z)|(y,-x+y,-z)
|||||(x-y,x,-z)|(-y,-x,z)|(-x+y,y,z)|(x,x-y,z)
||6|i|.m.|(x,-x,z)|(x,2x,z)|(-2x,-x,z)|(-x,x,-z)
|||||(2x,x,-z)|(-x,-2x,-z)||
||6|h|.2.|(x,0,1/2)|(0,x,1/2)|(-x,-x,1/2)|(-x,0,1/2)
|||||(0,-x,1/2)|(x,x,1/2)||
||6|g|.2.|(x,0,0)|(0,x,0)|(-x,-x,0)|(-x,0,0)
|||||(0,-x,0)|(x,x,0)||
||3|f|.2/m.|(1/2,0,1/2)|(0,1/2,1/2)|(1/2,1/2,1/2)|
||3|e|.2/m.|(1/2,0,0)|(0,1/2,0)|(1/2,1/2,0)|
||2|d|3m.|(1/3,2/3,z)|(2/3,1/3,-z)||
||2|c|3m.|(0,0,z)|(0,0,-z)||
||1|b|-3m.|(0,0,1/2)|||
||1|a|-3m.|(0,0,0)|||
P -3 2/c 1|457|||||||
||12|g|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(y,x,-z+1/2)
|||||(x-y,-y,-z+1/2)|(-x,-x+y,-z+1/2)|(-x,-y,-z)|(y,-x+y,-z)
|||||(x-y,x,-z)|(-y,-x,z+1/2)|(-x+y,y,z+1/2)|(x,x-y,z+1/2)
||6|f|.2.|(x,0,1/4)|(0,x,1/4)|(-x,-x,1/4)|(-x,0,3/4)
|||||(0,-x,3/4)|(x,x,3/4)||
||6|e|-1|(1/2,0,0)|(0,1/2,0)|(1/2,1/2,0)|(0,1/2,1/2)
|||||(1/2,0,1/2)|(1/2,1/2,1/2)||
||4|d|3..|(1/3,2/3,z)|(2/3,1/3,-z+1/2)|(2/3,1/3,-z)|(1/3,2/3,z+1/2)
||4|c|3..|(0,0,z)|(0,0,-z+1/2)|(0,0,-z)|(0,0,z+1/2)
||2|b|-3..|(0,0,0)|(0,0,1/2)||
||2|a|32|(0,0,1/4)|(0,0,3/4)||
R -3 2/m|458|||||||
||36|i|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(y,x,-z)
|||||(x-y,-y,-z)|(-x,-x+y,-z)|(-x,-y,-z)|(y,-x+y,-z)
|||||(x-y,x,-z)|(-y,-x,z)|(-x+y,y,z)|(x,x-y,z)
||18|h|.m|(x,-x,z)|(x,2x,z)|(-2x,-x,z)|(-x,x,-z)
|||||(2x,x,-z)|(-x,-2x,-z)||
||18|g|0.2|(x,0,1/2)|(0,x,1/2)|(-x,-x,1/2)|(-x,0,1/2)
|||||(0,-x,1/2)|(x,x,1/2)||
||18|f|0.2|(x,0,0)|(0,x,0)|(-x,-x,0)|(-x,0,0)
|||||(0,-x,0)|(x,x,0)||
||9|e|.2/m|(1/2,0,0)|(0,1/2,0)|(1/2,1/2,0)|
||9|d|.2/m|(1/2,0,1/2)|(0,1/2,1/2)|(1/2,1/2,1/2)|
||6|c|3m|(0,0,z)|(0,0,-z)||
||3|b|-3m|(0,0,1/2)|||
||3|a|-3m|(0,0,0)|||
R -3 2/m|459|||||||
||12|i|1|(x,y,z)|(z,x,y)|(y,z,x)|(-y,-x,-z)
|||||(-x,-z,-y)|(-z,-y,-x)|(-x,-y,-z)|(-z,-x,-y)
|||||(-y,-z,-x)|(y,x,z)|(x,z,y)|(z,y,x)
||6|h|.m|(x,x,z)|(z,x,x)|(x,z,x)|(-x,-x,-z)
|||||(-x,-z,-x)|(-z,-x,-x)||
||6|g|0.2|(x,-x,1/2)|(1/2,x,-x)|(-x,1/2,x)|(-x,x,1/2)
|||||(1/2,-x,x)|(x,1/2,-x)||
||6|f|0.2|(x,-x,0)|(0,x,-x)|(-x,0,x)|(-x,x,0)
|||||(0,-x,x)|(x,0,-x)||
||3|e|.2/m|(0,1/2,1/2)|(1/2,0,1/2)|(1/2,1/2,0)|
||3|d|.2/m|(1/2,0,0)|(0,1/2,0)|(0,0,1/2)|
||2|c|3m|(x,x,x)|(-x,-x,-x)||
||1|b|-3m|(1/2,1/2,1/2)|||
||1|a|-3m|(0,0,0)|||
R -3 2/c|460|||||||
||36|f|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(y,x,-z+1/2)
|||||(x-y,-y,-z+1/2)|(-x,-x+y,-z+1/2)|(-x,-y,-z)|(y,-x+y,-z)
|||||(x-y,x,-z)|(-y,-x,z+1/2)|(-x+y,y,z+1/2)|(x,x-y,z+1/2)
||18|e|0.2|(x,0,1/4)|(0,x,1/4)|(-x,-x,1/4)|(-x,0,3/4)
|||||(0,-x,3/4)|(x,x,3/4)||
||18|d|-1|(1/2,0,0)|(0,1/2,0)|(1/2,1/2,0)|(0,1/2,1/2)
|||||(1/2,0,1/2)|(1/2,1/2,1/2)||
||12|c|3|(0,0,z)|(0,0,-z+1/2)|(0,0,-z)|(0,0,z+1/2)
||6|b|-3|(0,0,0)|(0,0,1/2)||
||6|a|32|(0,0,1/4)|(0,0,3/4)||
R -3 2/c|461|||||||
||12|f|1|(x,y,z)|(z,x,y)|(y,z,x)|(-y+1/2,-x+1/2,-z+1/2)
|||||(-x+1/2,-z+1/2,-y+1/2)|(-z+1/2,-y+1/2,-x+1/2)|(-x,-y,-z)|(-z,-x,-y)
|||||(-y,-z,-x)|(y+1/2,x+1/2,z+1/2)|(x+1/2,z+1/2,y+1/2)|(z+1/2,y+1/2,x+1/2)
||6|e|0.2|(x,-x+1/2,1/4)|(1/4,x,-x+1/2)|(-x+1/2,1/4,x)|(-x,x+1/2,3/4)
|||||(3/4,-x,x+1/2)|(x+1/2,3/4,-x)||
||6|d|-1|(1/2,0,0)|(0,1/2,0)|(0,0,1/2)|(1/2,0,1/2)
|||||(0,1/2,1/2)|(1/2,1/2,0)||
||4|c|3|(x,x,x)|(-x+1/2,-x+1/2,-x+1/2)|(-x,-x,-x)|(x+1/2,x+1/2,x+1/2)
||2|b|-3|(0,0,0)|(1/2,1/2,1/2)||
||2|a|32|(1/4,1/4,1/4)|(3/4,3/4,3/4)||
P 6|462|||||||
||6|d|1|(x,y,z)|(-y,x-y,z)|(-x+y,-x,z)|(-x,-y,z)
|||||(y,-x+y,z)|(x-y,x,z)||
||3|c|2..|(1/2,0,z)|(0,1/2,z)|(1/2,1/2,z)|
||2|b|3..|(1/3,2/3,z)|(2/3,1/3,z)||
||1|a|6..|(0,0,z)|||
P 61|463|||||||
