0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 
0 (0+5) 1 2 (2+3) 3 4 (7+15) 5 6 7 8 9 10 11 12 13 (15+17) 14 15 16 (19+12) 17 18 19 20 21 22 23 24 25 26 
(4+0) 0 (1+0) 1 (1+21) 2 (0+1) (0+4) 3 4 (3+18) (1+12) 5 (6+5) (27+5) 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 
(1+18) 0 1 (4+12) 2 (12+2) 3 4 (3+18) 5 6 7 8 (7+16) (6+7) (2+15) 9 10 (7+6) 11 (11+15) (15+11) 12 13 14 15 16 17 18 19 20 (14+15) 
(0+7) 0 1 (5+13) 2 (2+12) (3+15) 3 (6+24) 4 5 6 7 (4+19) (7+10) (7+0) (8+11) 8 9 (10+7) 10 (11+8) 11 12 (0+13) 13 (13+0) 14 15 16 (15+3) 17 
(3+7) (0+12) (6+19) (3+14) (6+4)mLA1 (0+9) 0 1 2 3 (8+5) (3+23) (6+0) 4 5 6 7 (5+8) 8 (14+3) 9 (5+13) (5+16) 10 11 12 13 14 15 16 (14+15) 17 
0 (14+0) 1 (2+8) 2 (6+0) (0+9) (4+5) (3+6) 3 4 (9+0) (9+19) (4+13) 5 6 7 (7+14) 8 9 (8+2) (6+3) 10 11 12 13 14 (17+13) 15 16 17 (0+14) 
0 1 (3+1) (1+7) (4+1) 2 (1+5) (7+1) 3 (1+4) 4 5 (7+17) (22+6) (6+13) 6 7 8 (4+11) 9 (11+4) 10 11 (13+6) 12 13 14 (6+14) 15 16 17 (6+22) 
0 (1+17) 1 2 3 (1+6) (4+1) 4 (4+14) (1+6) 5 (5+2) (6+12) (2+5)mLA1 (6+18) (6+1) (15+0) 6 (6+1) 7 8 9 (16+11) 10 (19+10) 11 (0+15) 12 13 14 (19+16) (18+6) 
(0+5) 0 1 2 (2+19) (2+6) 3 4 5 (4+10) (6+2) (1+3) (3+1) 6 (7+1) 7 8 9 (1+8) (6+18) (10+4) 10 (1+7) 11 (8+1) (18+6) 12 13 (18+6) 14 15 (11+7) 
(22+2)mR8 0 1 2 3 4 (2+4) (6+4) (1+17) (4+6) (8+6) (2+24) (6+1) 5 6 (0+21) 7 8 (0+13) (3+13) 9 10 (6+8) 11 (13+3) 12 13 14 15 (19+1) 16 17 
0 (2+11) (2+7) 1 2 (7+2) (2+7) 3 4 (7+2) 5 6 7 (1+10) (9+1) 8 (6+1) 9 (6+2) (1+6) 10 11 (6+1) (22+1) 12 (10+1) (1+6) 13 14 (2+6) 15 16 
0 (1+7) 1 (4+2) 2 3 (2+4) 4 (1+8) 5 (6+1) 6 (8+1) 7 (9+12) (1+8) (9+8) (8+1) 8 9 (8+9) 10 (8+12) (12+8) 11 12 (15+14) (10+11) 13 14 15 (14+15) 
0 1 (1+2) 2 (2+1) 3 (2+16) (7+4) 4 5 (4+5) 6 (4+20) 7 (5+10) (9+8) 8 (1+23) (8+9) 9 10 11 12 (23+1) (2+1) (3+13) 13 (4+5) 14 (16+2) (8+7) 15 
0 1 2 3 4 (5+2) (2+5) 5 (4+12) 6 (13+20) (3+5) 7 (4+16) (8+12) 8 9 10 11 (11+13) (12+4) 12 13 (8+17) 14 15 16 17 (15+3) 18 19 20 
0 1 (1+9) (4+2) (2+21) 2 (5+8) (5+15) 3 4 5 6 7 (3+15) 8 9 (9+1) 10 11 12 (10+20) 13 (16+1) (3+20) (15+3) 14 15 16 (4+16) 17 (15+5) 18 
0 1 (1+2) (17+21) 2 3 4 5 6 (17+11) 7 8 (7+2) 9 (8+6) (10+3) 10 11 12 13 14 15 (2+7) 16 (3+10) 17 18 (13+10) 19 20 21 22 
0 1 2 (3+1) 3 4 (14+4) (2+16) 5 (5+6) (4+8) 6 (2+14) 7 (5+1) 8 (5+6) 9 10 11 12 13 14 15 16 17 18 19 20 (14+2) 21 22 
0 1 2 (4+2) (7+13) 3 4 5 6 7 8 (8+5) 9 10 11 12 13 (13+12) (16+12) (4+12) (10+6) 14 (5+8) 15 16 17 18 19 20 21 22 (12+16) 
0 (8+3)mLA3 1 2 3 4 5 6 (6+5) (6+17) 7 8 9 10 11 (1+6) 12 13 14 15 16 (17+6) 17 18 19 20 21 22 (4+10) (6+14) (10+4) 23 
(11+1) 0 (1+3) 1 2 3 4 (2+6) 5 (3+1) 6 7 8 9 10 11 (7+3) 12 (8+14) (6+2) 13 14 15 16 17 18 19 20 21 22 23 (14+8) 
0 (0+9) 1 2 3 4 5 (5+16) (4+22) 6 7 8 9 10 (7+14) 11 12 13 14 15 16 17 18 19 20 21 22 23 24 (11+5) 25 26 
(0+14) (1+7) 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 (10+13) 28 
0 1 2 3 4 (3+15) (2+8) 5 (5+6) 6 (6+5)mLA1 7 8 9 10 11 12 13 14 15 (8+20) 16 17 18 (18+28) 19 20 21 22 23 24 25 
(1+0) 0 1 2 (1+5) (5+2) 3 (5+1) (2+5) (0+15) 4 5 6 0mZPR (1+9) 7 8 9 (9+1) 10 11 (0+9)mR4 12 13 14 15 16 17 18 19 20 21 
5mR5 (14+7) (0+15) (1+14) 0 1 2 3 (0+4) 4 (1+6) (2+13) (9+1) 5 (3+8) 6 7 8 9 10 (13+2) 11 12 (11+17) 13 (15+0) 14 15 16 (14+1) 17 (7+14) 
0 1 2 (2+5) (1+21) (2+5) 3 (5+2) (5+2) (8+3) 4 (5+6) 5 (2+9) (5+1) (8+3) (3+8) 6 (5+12) (7+8) 7 (8+7) 8 (8+7) (6+5) 9 10 11 12 13 (21+1) 14 
0 1 (1+4) 2 (1+16) (12+2) (2+3) 3 (4+1) 4 5 6 (3+11) 7 (4+17) (16+1) (14+6) 8 (21+5) (2+12) 9 (18+5) (11+3) (5+13) 10 11 12 (3+24) 13 (21+11) 14 (24+3) 
(0+6) 0 (0+10) 1 (1+6) 2 (2+11) (2+4) (10+0) 3 (4+2) 4 (6+1) 5 6 (6+12) 7 (3+14) (21+1) 8 9 10 (16+10) 11 (12+6) 12 13 14 15 16 17 18 
0 1 (1+15) 2 3 4 (6+2) 5 (8+7) 6 7 (5+16) 8 (16+4) 9 (5+17) (9+5) 10 11 12 (17+5) (17+9) 13 (13+7) (9+17) (16+5) 14 15 16 17 18 19 
0 1 2 3 (0+5) (15+8) 4 (4+11) 5 (4+5) (5+4) (6+9) 6 7 8 9 10 11 (9+6) 12 (11+4) 13 (17+15) 14 15 16 17 18 19 20 21 22 
